codigo_uf,uf,ano,cobertura,vacina
17,Tocantins,2020,91.95,BCG
21,Maranhão,2020,65.81,BCG
22,Piauí,2020,79.79,BCG
23,Ceará,2020,70.22,BCG
24,Rio Grande do Norte,2020,85.15,BCG
25,Paraíba,2020,67.48,BCG
26,Pernambuco,2020,79.28,BCG
27,Alagoas,2020,72.15,BCG
28,Sergipe,2020,77.85,BCG
29,Bahia,2020,78.43,BCG
31,Minas Gerais,2020,83.14,BCG
32,Espírito Santo,2020,86.84,BCG
33,Rio de Janeiro,2020,64.06,BCG
35,São Paulo,2020,71.45,BCG
41,Paraná,2020,89.97,BCG
42,Santa Catarina,2020,83.19,BCG
43,Rio Grande do Sul,2020,87.6,BCG
50,Mato Grosso do Sul,2020,64.74,BCG
51,Mato Grosso,2020,84.98,BCG
52,Goiás,2020,80.16,BCG
53,Distrito Federal,2020,91.32,BCG
11,Rondônia,2021,72.99,BCG
12,Acre,2021,69.23,BCG
13,Amazonas,2021,95.59,BCG
14,Roraima,2021,77.13,BCG
15,Pará,2021,71.94,BCG
16,Amapá,2021,95.79,BCG
17,Tocantins,2021,91.3,BCG
21,Maranhão,2021,70.78,BCG
22,Piauí,2021,86.09,BCG
23,Ceará,2021,72.91,BCG
24,Rio Grande do Norte,2021,93.0,BCG
25,Paraíba,2021,69.7,BCG
26,Pernambuco,2021,82.62,BCG
27,Alagoas,2021,74.66,BCG
28,Sergipe,2021,89.54,BCG
29,Bahia,2021,66.66,BCG
31,Minas Gerais,2021,78.61,BCG
32,Espírito Santo,2021,84.43,BCG
33,Rio de Janeiro,2021,65.3,BCG
35,São Paulo,2021,68.76,BCG
41,Paraná,2021,82.17,BCG
42,Santa Catarina,2021,71.05,BCG
43,Rio Grande do Sul,2021,79.52,BCG
50,Mato Grosso do Sul,2021,65.35,BCG
51,Mato Grosso,2021,81.82,BCG
52,Goiás,2021,74.25,BCG
53,Distrito Federal,2021,98.78,BCG
11,Rondônia,2022,102.79,BCG
12,Acre,2022,80.47,BCG
13,Amazonas,2022,117.47,BCG
14,Roraima,2022,85.17,BCG
15,Pará,2022,83.09,BCG
16,Amapá,2022,89.92,BCG
17,Tocantins,2022,120.44,BCG
21,Maranhão,2022,83.63,BCG
22,Piauí,2022,106.14,BCG
23,Ceará,2022,116.67,BCG
24,Rio Grande do Norte,2022,103.28,BCG
25,Paraíba,2022,94.11,BCG
26,Pernambuco,2022,99.14,BCG
27,Alagoas,2022,102.74,BCG
28,Sergipe,2022,106.93,BCG
29,Bahia,2022,86.66,BCG
31,Minas Gerais,2022,95.64,BCG
32,Espírito Santo,2022,63.79,BCG
33,Rio de Janeiro,2022,76.44,BCG
35,São Paulo,2022,82.17,BCG
41,Paraná,2022,90.08,BCG
42,Santa Catarina,2022,85.43,BCG
43,Rio Grande do Sul,2022,88.54,BCG
50,Mato Grosso do Sul,2022,84.13,BCG
51,Mato Grosso,2022,95.7,BCG
52,Goiás,2022,79.64,BCG
53,Distrito Federal,2022,114.88,BCG
11,Rondônia,2013,100.07,Poliomielite
12,Acre,2013,92.78,Poliomielite
13,Amazonas,2013,96.83,Poliomielite
14,Roraima,2013,86.48,Poliomielite
15,Pará,2013,96.98,Poliomielite
16,Amapá,2013,93.31,Poliomielite
17,Tocantins,2013,96.97,Poliomielite
21,Maranhão,2013,105.73,Poliomielite
22,Piauí,2013,93.06,Poliomielite
23,Ceará,2013,104.79,Poliomielite
24,Rio Grande do Norte,2013,93.86,Poliomielite
25,Paraíba,2013,108.24,Poliomielite
26,Pernambuco,2013,101.06,Poliomielite
27,Alagoas,2013,97.53,Poliomielite
28,Sergipe,2013,99.41,Poliomielite
29,Bahia,2013,96.4,Poliomielite
31,Minas Gerais,2013,103.24,Poliomielite
32,Espírito Santo,2013,100.22,Poliomielite
33,Rio de Janeiro,2013,99.95,Poliomielite
35,São Paulo,2013,98.95,Poliomielite
41,Paraná,2013,104.65,Poliomielite
42,Santa Catarina,2013,97.78,Poliomielite
43,Rio Grande do Sul,2013,100.28,Poliomielite
50,Mato Grosso do Sul,2013,118.01,Poliomielite
51,Mato Grosso,2013,101.2,Poliomielite
52,Goiás,2013,107.69,Poliomielite
53,Distrito Federal,2013,112.17,Poliomielite
11,Rondônia,2014,108.09,Poliomielite
12,Acre,2014,75.44,Poliomielite
13,Amazonas,2014,98.86,Poliomielite
